Index	Time Stamp	red Values
Start: 1417630319228
0	1417630319228	0.0
1	1417630319228	0.0
2	1417630319228	0.0
3	1417630319228	0.0
4	1417630319229	0.0
5	1417630319229	243.88761393229166
6	1417630319229	242.69938151041666
7	1417630319230	249.46622721354166
8	1417630319231	249.30623372395834
9	1417630319231	250.46695963541666
10	1417630319233	250.63362630208334
11	1417630319233	250.92106119791666
12	1417630319234	250.70711263020834
13	1417630319234	251.46378580729166
14	1417630319234	251.71158854166666
15	1417630319236	251.38020833333334
16	1417630319236	251.52010091145834
17	1417630319236	251.69230143229166
18	1417630319236	251.25162760416666
19	1417630319236	251.26652018229166
20	1417630319237	250.78092447916666
21	1417630319237	251.427734375
22	1417630319237	251.23209635416666
23	1417630319237	250.86848958333334
24	1417630319237	250.982177734375
25	1417630319238	250.48746744791666
26	1417630319238	251.33854166666666
27	1417630319238	250.67032877604166
28	1417630319238	250.77376302083334
29	1417630319239	250.842041015625
30	1417630319239	250.530517578125
31	1417630319239	251.30997721354166
32	1417630319239	251.15665690104166
33	1417630319239	250.84537760416666
34	1417630319239	250.95597330729166
35	1417630319239	250.99886067708334
36	1417630319240	250.90234375
37	1417630319240	250.7890625
38	1417630319240	251.05948893229166
39	1417630319240	251.148193359375
40	1417630319241	250.96451822916666
41	1417630319241	250.87736002604166
42	1417630319241	250.987548828125
43	1417630319241	250.78938802083334
44	1417630319241	251.05891927083334
45	1417630319242	250.26953125
46	1417630319242	250.6201171875
47	1417630319242	250.70751953125
48	1417630319242	251.00968424479166
49	1417630319243	249.81575520833334
50	1417630319243	250.478271484375
51	1417630319243	250.40852864583334
52	1417630319243	250.63460286458334
53	1417630319243	250.3212890625
54	1417630319243	249.92049153645834
55	1417630319243	250.332763671875
56	1417630319243	250.69482421875
57	1417630319243	250.44222005208334
58	1417630319244	249.681884765625
59	1417630319244	250.45361328125
60	1417630319244	250.76188151041666
61	1417630319244	251.009521484375
62	1417630319245	250.26090494791666
63	1417630319245	250.240234375
64	1417630319246	250.74430338541666
65	1417630319246	250.25146484375
66	1417630319246	250.33333333333334
67	1417630319246	249.82177734375
68	1417630319246	250.87027994791666
69	1417630319247	250.11092122395834
70	1417630319247	250.45711263020834
71	1417630319247	250.44783528645834
72	1417630319247	250.918212890625
73	1417630319247	250.02783203125
74	1417630319247	250.15592447916666
75	1417630319247	250.27433268229166
76	1417630319248	249.964111328125
77	1417630319248	250.74357096354166
78	1417630319248	249.81803385416666
79	1417630319248	250.06656901041666
80	1417630319248	250.40079752604166
81	1417630319249	250.29475911458334
82	1417630319249	249.86848958333334
83	1417630319249	250.18196614583334
84	1417630319250	250.25032552083334
85	1417630319250	250.68155924479166
86	1417630319250	249.50374348958334
87	1417630319250	249.68758138020834
88	1417630319250	249.854248046875
89	1417630319251	250.29361979166666
90	1417630319251	248.75260416666666
91	1417630319251	249.47420247395834
92	1417630319251	249.810546875
93	1417630319251	250.24129231770834
94	1417630319251	249.17830403645834
95	1417630319251	249.212646484375
96	1417630319252	249.751220703125
97	1417630319252	250.271240234375
98	1417630319252	249.06087239583334
99	1417630319252	249.228515625
End: 1417630319252
